,Name,Price,Rating,Image
0,,,,
1,,,,
2,,,,
3,,,,
4,"Acer Travelmate Business Laptop Intel Core i5-1135G7 Processor (16GB DDR4/ 512GB SSD/Intel Iris Xe Graphics/Windows 11 Home/MS Office) TMP214-53 with 35.56 cm (14.0"") Full HD Display","42,990",4.3 out of 5 stars.,"https://m.media-amazon.com/images/S/al-eu-726f4d26-7fdb/818081aa-bb80-47ab-9bda-310699c3fa1a._CR0,0,400,400_AC_SX130_SY60_QL70_.png"
5,"Acer Travelmate Business Laptop Intel Core i5-1135G7 Processor (16GB DDR4/ 512GB SSD/Intel Iris Xe Graphics/Windows 11 Home/MS Office) TMP214-53 with 35.56 cm (14.0"") Full HD Display","42,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/81zyK2duFoL._AC_UY218_.jpg
6,"Lenovo IdeaPad Flex 5 Ryzen 5 7530U 14"" (35.5cm) WUXGA+ IPS 2-in-1 Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/Fingerprint/FHD Camera/Alexa/3 Month Game Pass/Arctic Grey/1.55Kg), 82XX007KIN","66,190",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61hJRwJ9xVL._AC_UY218_.jpg
7,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN","22,850",3.8 out of 5 stars,https://m.media-amazon.com/images/I/31uLEZHhMDL._AC_UY218_.jpg
8,Acer Travelmate Business Laptop Intel Core i7-11th Gen (Windows 11 Home/16 GB Ram/1TB SSD/Intel Iris Xe Graphics/14.0 IPS Display/Backlit Keyboard/Fingerprint Sensor) TMP214-53,"49,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UY218_.jpg
9,"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","19,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71lYhcc++AL._AC_UY218_.jpg
10,,"39,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81SJv5NkLPL._AC_UL320_.jpg
11,,,,
12,,"39,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81SJv5NkLPL._AC_UL320_.jpg
13,,"68,890",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51rEPuvNYFL._AC_UL320_.jpg
14,,"40,099",4.1 out of 5 stars,https://m.media-amazon.com/images/I/715IMNWRysL._AC_UL320_.jpg
15,,"31,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71TaT3nhcvL._AC_UL320_.jpg
