,Name,Price,Rating,Image
0,Acer Swift Go 14 AI Powered EVO Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-72T...,"₹84,990",,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/x/7/-original-imagxhuxsfczqrzn.jpeg?q=70
1,CHUWI Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,"₹24,990",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/b/l/corebook-x-laptop-chuwi-original-imagwkfspzdtns4j.jpeg?q=70
2,Lenovo Intel Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/DOS) 82QYA00HIN Laptop,"₹21,234",3.7,https://rukminim2.flixcart.com/image/312/312/xif0q/screen-guard/screen-guard/4/b/d/asg-14715-saco-original-imaghqbah9jycshw.jpeg?q=70
3,SAMSUNG Galaxy Book2 Intel Core i5 12th Gen 1235U - (8 GB/256 GB SSD/Windows 11 Home) NP750XED-KB1IN T...,"₹60,990",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/r/5/-original-imagupz9vdcgzvnf.jpeg?q=70
4,HP Pavilion (2023) Eyesafe AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019A...,"₹54,990",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/u/c/-original-imagxfs93hqxbehu.jpeg?q=70
5,HP Pavilion Aero (2023) AMD Ryzen 5 Hexa Core 7535U - (16 GB/512 GB SSD/Windows 11 Home) 13-BE2056AU T...,"₹68,918",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/q/e/-original-imagwzwcrmyhnhmg.jpeg?q=70
6,ASUS Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-EJ0247 ...,"₹16,990",3.3,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/7/g/-original-imagtmsye5fumwdf.jpeg?q=70
7,HP Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq3066TU Thin and Light Lapt...,"₹26,990",3.8,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/h/w/-original-imagxfsbufcxc6wk.jpeg?q=70
8,Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin a...,"₹44,990",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/9/d/n/-original-imaguyhzhbhqe8qj.jpeg?q=70
9,HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,"₹56,990",4.2,https://rukminim2.flixcart.com/image/312/312/l5bd5zk0/computer/o/l/w/15-fa0353tx-gaming-laptop-hp-original-imaggytdx6zpv6qg.jpeg?q=70
