,Name,Price,Badge,Image
0, Classmate Blue Ink Gel Pen,₹5.00,,https://assets-mkpbg.gem.gov.in/img/othe/6474808/a8/99/whatsappimage20230505at12.13.09pm.jpeg.5bdda9a899.999x150x150.jpg
1, rorito Blue Ink Gel Pen,₹5.00,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/4065364/f5/ae/gel.blue.pen.rortio.1.jpeg.9341b9f5ae.999x150x150.jpg
2, Pentel Blue Ink Gel Pen,₹5.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5482356/3d/e9/d.jpg.572e953de9.999x150x150.jpg
3, unomax Blue Ink Gel Pen,₹6.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5518684/ec/46/img20220727wa0006.jpg.6a7c70ec46.999x150x150.jpg
4, Pentel Blue Ink Gel Pen,₹8.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5482356/3d/e9/v.jpg.572e953de9.999x150x150.jpg
5, Flair Blue Ink Gel Pen,₹8.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5482356/04/cc/9630.jpeg.201fe804cc.999x150x150.jpg
6, kores Blue Ink Gel Pen,₹9.50,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/7500717/9c/3f/gelpenpremium1.jpg.20b6149c3f.999x150x150.jpg
7, LINC Blue Ink Gel Pen,₹9.85,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/3518218/e0/a1/2.jpeg.c68685e0a1.999x150x150.jpg
8, Flair Blue Ink Gel Pen,₹9.95,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5482356/04/cc/123.jpg.201fe804cc.999x150x150.jpg
9, LINC Blue Ink Gel Pen,₹9.99,4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/3518218/e0/a1/2.jpeg.c68685e0a1.999x150x150.jpg
10, Flair Blue Ink Gel Pen,₹10.00,4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/5156825/9f/e0/sdflr0016800.png.3820d09fe0.999x150x150.jpg
